"Prompt 3: ""A middle-aged high elf with brown hair sits in a large, worn cha...","Prompt 3: ""A middle-aged high elf with brown hair sits in a large, worn cha...",Count
DreamBooth,1,23
DreamBooth,2,10
DreamBooth,3,3
Textual Inversion,1,5
Textual Inversion,2,10
Textual Inversion,3,21
SD Base,1,8
SD Base,2,16
SD Base,3,12
