"Prompt 3: ""A boy in a fur vest reaches toward a sleek black dragon with big...","Prompt 3: ""A boy in a fur vest reaches toward a sleek black dragon with big...",Count
DreamBooth,1,13
DreamBooth,2,19
DreamBooth,3,6
Textual Inversion,1,12
Textual Inversion,2,11
Textual Inversion,3,15
SD Base,1,13
SD Base,2,8
SD Base,3,17
