"Prompt 1: ""An young human cautiously reaches out to touch a mysterious blac...","Prompt 1: ""An young human cautiously reaches out to touch a mysterious blac...",Count
DreamBooth,1,12
DreamBooth,2,9
DreamBooth,3,19
Textual Inversion,1,16
Textual Inversion,2,14
Textual Inversion,3,10
SD Base,1,12
SD Base,2,17
SD Base,3,11
