"Prompt 1: ""A woman elf in fur-lined winter leather clothes, reading by a fi...","Prompt 1: ""A woman elf in fur-lined winter leather clothes, reading by a fi...",Count
DreamBooth,1,20
DreamBooth,2,12
DreamBooth,3,4
Textual Inversion,1,7
Textual Inversion,2,18
Textual Inversion,3,11
SD Base,1,9
SD Base,2,6
SD Base,3,21
