"Prompt 2: ""A cinematic fantasy setting featuring a brown-haired high elf in...","Prompt 2: ""A cinematic fantasy setting featuring a brown-haired high elf in...",Count
DreamBooth,1,7
DreamBooth,2,16
DreamBooth,3,16
Textual Inversion,1,10
Textual Inversion,2,10
Textual Inversion,3,19
SD Base,1,22
SD Base,2,13
SD Base,3,4
