"Prompt 3: ""Two hobbits walk away, carrying large sticks and wearing earth-t...","Prompt 3: ""Two hobbits walk away, carrying large sticks and wearing earth-t...",Count
DreamBooth,1,8
DreamBooth,2,7
DreamBooth,3,22
Textual Inversion,1,10
Textual Inversion,2,17
Textual Inversion,3,10
SD Base,1,19
SD Base,2,13
SD Base,3,5
