"Prompt 2: ""Two hobbits carrying brown sacks, walk away from the camera with...","Prompt 2: ""Two hobbits carrying brown sacks, walk away from the camera with...",Count
DreamBooth,1,6
DreamBooth,2,19
DreamBooth,3,14
Textual Inversion,1,26
Textual Inversion,2,5
Textual Inversion,3,8
SD Base,1,7
SD Base,2,15
SD Base,3,17
