"Prompt 1: ""Two hobbits carrying sacks, walking with sticks in green pasture...","Prompt 1: ""Two hobbits carrying sacks, walking with sticks in green pasture...",Count
DreamBooth,1,26
DreamBooth,2,14
DreamBooth,3,0
Textual Inversion,1,12
Textual Inversion,2,16
Textual Inversion,3,12
SD Base,1,2
SD Base,2,10
SD Base,3,28
