"Prompt 2: ""A boy with a fur vest reaches out to touch black dragon in a tra...","Prompt 2: ""A boy with a fur vest reaches out to touch black dragon in a tra...",Count
DreamBooth,1,17
DreamBooth,2,16
DreamBooth,3,3
Textual Inversion,1,14
Textual Inversion,2,13
Textual Inversion,3,9
SD Base,1,5
SD Base,2,7
SD Base,3,24
